index,accuracy,error_rate,f_measure,false_pos,precision,recall,sensitivity,specificity
DTree_Gini,0.8568,0.1432,0.6565,0.0517,0.7773,0.5683,0.5683,0.9483
DTree_Entropy,0.8561,0.1439,0.6549,0.0521,0.7753,0.5669,0.5669,0.9479
DTree_Gini 80,0.8566,0.1434,0.6514,0.0481,0.7858,0.5563,0.5563,0.9519
DTree_Gini 70,0.8561,0.1439,0.65,0.0484,0.7844,0.5549,0.5549,0.9516
DTree_Entropy 20,0.8565,0.1435,0.65,0.0473,0.7877,0.5532,0.5532,0.9527
DTree_Entropy 10,0.8551,0.1449,0.6492,0.0502,0.7785,0.5567,0.5567,0.9498
DTree_Entropy 60,0.8542,0.1458,0.645,0.0493,0.7796,0.5501,0.5501,0.9507
DTree_Entropy 50,0.8533,0.1467,0.6418,0.0492,0.7786,0.5458,0.5458,0.9508
DTree_Gini 10,0.852,0.148,0.6416,0.0522,0.7696,0.5501,0.5501,0.9478
DTree_Gini 100,0.8545,0.1455,0.641,0.0456,0.7897,0.5393,0.5393,0.9544
DTree_Entropy 80,0.8532,0.1468,0.6409,0.0487,0.7797,0.5441,0.5441,0.9513
DTree_Gini 20,0.8538,0.1462,0.6409,0.0473,0.7842,0.5419,0.5419,0.9527
DTree_Gini 90,0.8545,0.1455,0.6403,0.0449,0.7914,0.5377,0.5377,0.9551
DTree_Entropy 100,0.8541,0.1459,0.6403,0.0461,0.7877,0.5393,0.5393,0.9539
DTree_Entropy 30,0.8543,0.1457,0.6401,0.0453,0.7902,0.5379,0.5379,0.9547
DTree_Entropy 70,0.853,0.147,0.6393,0.0481,0.7811,0.5411,0.5411,0.9519
DTree_Gini 50,0.854,0.146,0.6393,0.0456,0.7888,0.5374,0.5374,0.9544
DTree_Entropy 40,0.8526,0.1474,0.6393,0.0491,0.778,0.5425,0.5425,0.9509
DTree_Gini 60,0.8535,0.1465,0.6392,0.0466,0.7856,0.5388,0.5388,0.9534
DTree_Gini 40,0.8538,0.1462,0.6385,0.0454,0.7893,0.536,0.536,0.9546
DTree_Entropy 90,0.8529,0.1471,0.6383,0.0477,0.7821,0.5392,0.5392,0.9523
DTree_Gini 30,0.8534,0.1466,0.6373,0.0454,0.7887,0.5346,0.5346,0.9546
